@relation radar1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 {Dog,Human}

@data
0.123966,0.017046,0.085413,0.01421,0.046479,0.008949,0.102215,0.015207,0.575676,0.605933,0.11489,0.565148,0.600803,0.141622,0.840808,0.566667,0.592767,0.741523,0.210341,0.26087,0.024911,0.064742,0.161361,0.591398,0.213675,0.108268,0.010857,0.014227,0.163714,0.244275,0.008621,0.044623,0.151373,0.311828,0.301887,0.101536,0.004635,0.013444,0.129915,0.175439,0.01087,0.027788,0.145509,0.449612,0.227723,0.070738,0.005652,0.012422,0.087068,0.123457,0,0.014272,0.123743,0.466102,0.214286,0.05425,0,0.00981,0.294589,0.55843,0.034012,0.031328,0.013755,0.006013,0.00299,0.002681,Human
0.100564,0.010884,0.084322,0.013945,0.035499,0.005598,0.067974,0.009545,0.650575,0.664112,0.374234,0.643326,0.632354,0.548835,0.809398,0.533333,0.551978,0.751609,0.233843,0.26087,0.05694,0.058792,0.195091,0.537634,0.290598,0.114532,0.028876,0.009352,0.158044,0.145038,0.034483,0.026922,0.15387,0.419355,0.235849,0.06303,0.018956,0.00823,0.091453,0.114035,0.01087,0.012705,0.110189,0.465116,0.19802,0.047068,0.005888,0.006745,0.044814,0.098765,0,0.006071,0.064284,0.449153,0.154762,0.04557,0,0.004452,0.195578,0.646613,0.022832,0.018156,0.009824,0.004475,0.002385,0.002147,Human
0.387205,0.183654,0.436626,0.212416,0.268155,0.134999,0.502729,0.215893,0.693292,0.774651,0.72814,0.637855,0.764168,0.849929,0.442783,0.366667,0.269982,0.499228,0.658049,0.670807,0.41637,0.343381,0.533259,0.752688,0.726496,0.399538,0.283593,0.19439,0.601701,0.656489,0.375,0.314806,0.541181,0.731183,0.858491,0.391461,0.257059,0.19294,0.488034,0.570175,0.304348,0.273347,0.480028,0.682171,0.594059,0.338996,0.208238,0.189722,0.302177,0.37037,0.178862,0.129976,0.359696,0.635593,0.333333,0.227848,0.122379,0.180662,0.043022,0.700119,0.351173,0.353925,0.144426,0.050886,0.037988,0.013277,Human
0.266857,0.092048,0.303832,0.111037,0.160009,0.061723,0.341977,0.111159,0.764847,0.832344,0.121039,0.732446,0.760733,0.273775,0.679533,0.433333,0.419265,0.737279,0.546416,0.565217,0.220641,0.369159,0.47835,0.741935,0.675214,0.295723,0.13503,0.095008,0.510276,0.59542,0.181034,0.361679,0.502948,0.677419,0.783019,0.312051,0.11261,0.093812,0.457265,0.561404,0.13587,0.326604,0.488509,0.674419,0.762376,0.293513,0.08411,0.091649,0.362356,0.45679,0.081301,0.224539,0.464587,0.661017,0.428571,0.247952,0.050329,0.083812,0.23108,0.753379,0.188385,0.171729,0.072187,0.035573,0.008849,0.008317,Human
0.659507,0.483998,0.951783,0.909954,0.549865,0.410936,0.811764,0.715097,0.624168,0.706428,0.542646,0.609995,0.711076,0.575452,0.187804,0.266667,0.122111,0.226524,0.931845,0.944099,0.80427,0.676449,0.8412,1,0.948718,0.704641,0.652599,0.500018,0.931254,0.984733,0.758621,0.646754,0.866781,0.978495,0.971698,0.735746,0.616416,0.499148,0.902564,0.982456,0.706522,0.669372,0.868107,0.868217,0.990099,0.73481,0.574049,0.497274,0.873239,0.925926,0.780488,0.581843,0.867874,0.805085,0.857143,0.712025,0.634146,0.491023,0.004546,0.63504,0.711681,0.754695,0.558859,0.252471,0.137573,0.124424,Human
0.423317,0.245558,0.595299,0.375706,0.267661,0.166148,0.615744,0.324225,0.816142,0.801746,0.253127,0.799927,0.683135,0.407267,0.579834,0.433333,0.369097,0.598985,0.746181,0.888199,0.156584,0.738888,0.737346,0.989247,0.846154,0.463374,0.095428,0.227214,0.67966,0.900763,0.103448,0.697398,0.73651,0.924731,0.95283,0.471936,0.064786,0.225586,0.636752,0.850877,0.11413,0.731041,0.722412,0.821705,0.950495,0.446671,0.070652,0.223466,0.539052,0.790123,0.04065,0.662371,0.727039,0.728814,0.857143,0.428891,0.025165,0.21508,0.076224,0.857325,0.556934,0.467826,0.16217,0.074556,0.017345,0.018257,Human
0.384949,0.175537,0.415809,0.194399,0.40431,0.186317,0.414905,0.215126,0.446899,0.477347,0.214373,0.622821,0.454201,0.369824,0.001124,0.133333,0.022215,0.03608,0.462985,0.546584,0.590747,0.196495,0.290382,0.784946,0.615385,0.626995,0.641048,0.174949,0.459957,0.557252,0.525862,0.188677,0.300319,0.591398,0.632075,0.633819,0.572246,0.174416,0.447863,0.535088,0.51087,0.206533,0.290415,0.674419,0.60396,0.60331,0.553442,0.173284,0.46735,0.555556,0.536585,0.258506,0.325305,0.491525,0.630952,0.640823,0.581301,0.169937,0.058616,0.617873,0.103579,0.125627,0.236334,0.176527,0.107529,0.184015,Human
0.18195,0.076562,0.423592,0.201042,0.172265,0.076227,0.399324,0.153288,0.578326,0.633156,0.2765,0.542073,0.616507,0.486892,0.337333,0.166667,0.143442,0.682718,0.340188,0.583851,0.199288,0.437937,0.27272,0.634409,0.666667,0.591978,0.200355,0.057676,0.330262,0.618321,0.159483,0.456971,0.28461,0.516129,0.716981,0.622494,0.16309,0.057087,0.315385,0.605263,0.092391,0.466855,0.269455,0.635659,0.554455,0.605502,0.092391,0.055971,0.25096,0.493827,0.04878,0.307297,0.236935,0.550847,0.547619,0.506329,0.04878,0.050692,1,0.589723,0.096841,0.108337,0.133154,0.050922,0.013134,0.00831,Human
0.102347,0.015512,0.131845,0.027515,0.070672,0.012579,0.103523,0.017838,0.534471,0.539526,0.570668,0.535032,0.528688,0.674783,0.348528,0.266667,0.18681,0.505202,0.287309,0.31677,0.220641,0.059461,0.183585,0.408602,0.367521,0.243333,0.179032,0.014641,0.197732,0.251908,0.146552,0.034965,0.135109,0.387097,0.226415,0.192137,0.121245,0.013257,0.140171,0.192982,0.097826,0.025493,0.110538,0.465116,0.188119,0.143062,0.079484,0.011746,0.065301,0.08642,0.065041,0.008155,0.079701,0.381356,0.154762,0.066456,0.052846,0.008209,0.09661,0.537363,0.022748,0.02438,0.022404,0.006869,0.00307,0.003404,Human
0.116567,0.015453,0.142308,0.031055,0.056601,0.00962,0.091042,0.015587,0.649825,0.726369,0.432852,0.661945,0.670304,0.492719,0.589844,0.433333,0.374134,0.612871,0.266745,0.291925,0.120996,0.080631,0.20684,0.537634,0.444444,0.153865,0.073428,0.01362,0.19348,0.236641,0.068966,0.050025,0.175198,0.311828,0.339623,0.124186,0.043532,0.012451,0.14188,0.184211,0.032609,0.034458,0.151598,0.449612,0.267327,0.093943,0.020186,0.011065,0.074264,0.135802,0,0.016108,0.105545,0.466102,0.214286,0.073716,0,0.007721,0.535862,0.67195,0.029324,0.026879,0.014415,0.005492,0.002876,0.003555,Human
